No.,Time,Source,Destination,Protocol,Length,Info,Protocol_num,Packet_Count,Result
284,21.273693,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=29120 Ack=1150 Win=32256 Len=1208 TSval=559045420 TSecr=412648511 [TCP PDU reassembled in 294],6,808,Normal
285,21.273786,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=29120 Win=131072 Len=0 TSval=412648526 TSecr=559045419,6,445,Normal
286,21.273893,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=30328 Win=129856 Len=0 TSval=412648526 TSecr=559045420,6,445,Normal
287,21.275018,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=30328 Ack=1150 Win=32256 Len=1208 TSval=559045420 TSecr=412648511 [TCP PDU reassembled in 294]",6,808,Normal
288,21.275019,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=31536 Ack=1150 Win=32256 Len=1208 TSval=559045421 TSecr=412648511 [TCP PDU reassembled in 294],6,808,Normal
289,21.27502,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=32744 Ack=1150 Win=32256 Len=1208 TSval=559045421 TSecr=412648511 [TCP PDU reassembled in 294]",6,808,Normal
290,21.27516,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=33952 Win=131072 Len=0 TSval=412648527 TSecr=559045421,6,445,Normal
291,21.276575,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=33952 Ack=1150 Win=32256 Len=1208 TSval=559045422 TSecr=412648511 [TCP PDU reassembled in 294],6,808,Normal
292,21.276575,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=35160 Ack=1150 Win=32256 Len=1208 TSval=559045422 TSecr=412648511 [TCP PDU reassembled in 294]",6,808,Normal
293,21.276576,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=36368 Ack=1150 Win=32256 Len=1208 TSval=559045423 TSecr=412648511 [TCP PDU reassembled in 294],6,808,Normal
294,21.276576,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.3,1294,Application Data,8,808,Normal
295,21.276742,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=38784 Win=131072 Len=0 TSval=412648529 TSecr=559045423,6,445,Normal
296,21.279123,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=38784 Ack=1150 Win=32256 Len=1208 TSval=559045423 TSecr=412648516 [TCP PDU reassembled in 311],6,808,Normal
297,21.279125,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=39992 Ack=1150 Win=32256 Len=1208 TSval=559045423 TSecr=412648516 [TCP PDU reassembled in 311]",6,808,Normal
298,21.279126,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=41200 Ack=1150 Win=32256 Len=1208 TSval=559045424 TSecr=412648516 [TCP PDU reassembled in 311],6,808,Normal
299,21.279126,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=42408 Ack=1150 Win=32256 Len=1208 TSval=559045424 TSecr=412648516 [TCP PDU reassembled in 311]",6,808,Normal
300,21.279364,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=43616 Win=131072 Len=0 TSval=412648532 TSecr=559045424,6,445,Normal
301,21.280852,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=43616 Ack=1150 Win=32256 Len=1208 TSval=559045425 TSecr=412648516 [TCP PDU reassembled in 311],6,808,Normal
302,21.280853,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=44824 Ack=1150 Win=32256 Len=1208 TSval=559045425 TSecr=412648516 [TCP PDU reassembled in 311]",6,808,Normal
303,21.280854,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=46032 Ack=1150 Win=32256 Len=1208 TSval=559045426 TSecr=412648516 [TCP PDU reassembled in 311],6,808,Normal
304,21.280854,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=47240 Ack=1150 Win=32256 Len=1208 TSval=559045426 TSecr=412648516 [TCP PDU reassembled in 311]",6,808,Normal
305,21.281017,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=48448 Ack=1150 Win=32256 Len=1208 TSval=559045427 TSecr=412648516 [TCP PDU reassembled in 311],6,808,Normal
306,21.281039,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=48448 Win=131072 Len=0 TSval=412648533 TSecr=559045426,6,445,Normal
307,21.281609,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=49656 Ack=1150 Win=32256 Len=1208 TSval=559045427 TSecr=412648516 [TCP PDU reassembled in 311]",6,808,Normal
308,21.28161,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=50864 Ack=1150 Win=32256 Len=1208 TSval=559045428 TSecr=412648516 [TCP PDU reassembled in 311],6,808,Normal
309,21.281611,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=52072 Ack=1150 Win=32256 Len=1208 TSval=559045428 TSecr=412648516 [TCP PDU reassembled in 311]",6,808,Normal
310,21.281712,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=53280 Win=131072 Len=0 TSval=412648533 TSecr=559045427,6,445,Normal
311,21.2843,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.3,1294,Application Data,8,808,Normal
312,21.284301,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=54488 Ack=1150 Win=32256 Len=1208 TSval=559045431 TSecr=412648522 [TCP PDU reassembled in 331],6,808,Normal
313,21.284511,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=55696 Win=139520 Len=0 TSval=412648537 TSecr=559045431,6,445,Normal
314,21.284823,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=55696 Ack=1150 Win=32256 Len=1208 TSval=559045431 TSecr=412648522 [TCP PDU reassembled in 331]",6,808,Normal
315,21.284905,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=56904 Win=139520 Len=0 TSval=412648537 TSecr=559045431,6,445,Normal
316,21.285622,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=56904 Ack=1150 Win=32256 Len=1208 TSval=559045433 TSecr=412648524 [TCP PDU reassembled in 331],6,808,Normal
317,21.285735,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=58112 Ack=1150 Win=32256 Len=1208 TSval=559045433 TSecr=412648524 [TCP PDU reassembled in 331],6,808,Normal
318,21.285821,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=59320 Win=138304 Len=0 TSval=412648538 TSecr=559045433,6,445,Normal
319,21.286898,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=59320 Ack=1150 Win=32256 Len=1208 TSval=559045433 TSecr=412648524 [TCP PDU reassembled in 331]",6,808,Normal
320,21.286986,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=60528 Win=139520 Len=0 TSval=412648539 TSecr=559045433,6,445,Normal
321,21.287536,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=60528 Ack=1150 Win=32256 Len=1208 TSval=559045433 TSecr=412648526 [TCP PDU reassembled in 331],6,808,Normal
