No.,Source,Destination,Protocol,Length
228,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,86
229,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,86
230,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,717
231,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TLSv1.2,276
232,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TLSv1.2,276
233,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TLSv1.2,276
234,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,106
235,2001:558:fd01:6453::15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86
236,2001:558:fd01:6453::15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,280
237,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TCP,86
238,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TLSv1.2,121
239,2001:558:fd01:6453::15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86
240,2001:558:fd01:6453::15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,250
241,2001:558:fd01:6453::15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,237
242,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TCP,86
243,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4004:c1f::5e,QUIC,1292
244,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4004:c1f::5e,QUIC,1292
245,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4004:c1f::5e,QUIC,142
246,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102
247,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292
248,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292
249,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,349
250,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1005
251,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,96
252,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4004:c1f::5e,QUIC,140
253,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4004:c1f::5e,QUIC,93
254,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4004:c1f::5e,QUIC,1288
255,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4004:c1f::5e,QUIC,105
256,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,86
257,2001:558:fd01:6453::15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86
258,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,182
259,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,91
260,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,87
261,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4004:c1f::5e,QUIC,93
262,2607:f8b0:4004:c1f::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,626
